Illumina_index_set,Illumina_source_well,Lib_plate_name,Lib_plate_ID,Lib_plate_well,Primer_volume_(uL)
PE20,A1,BP4444_RexRM.1,hXUPVQ-3,A1,2
PE20,B1,BP4444_RexRM.1,hXUPVQ-3,C1,2
PE20,C1,BP4444_RexRM.1,hXUPVQ-3,E1,2
PE20,D1,BP4444_RexRM.1,hXUPVQ-3,G1,2
PE20,E1,BP4444_RexRM.1,hXUPVQ-3,I1,2
PE20,F1,BP4444_RexRM.1,hXUPVQ-3,K1,2
PE20,G1,BP4444_RexRM.1,hXUPVQ-3,M1,2
PE20,H1,BP4444_RexRM.1,hXUPVQ-3,O1,2
PE20,A2,BP4444_RexRM.1,hXUPVQ-3,A3,2
PE20,B2,BP4444_RexRM.1,hXUPVQ-3,C3,2
PE20,C2,BP4444_RexRM.1,hXUPVQ-3,E3,2
PE20,D2,BP4444_RexRM.1,hXUPVQ-3,G3,2
PE20,E2,BP4444_RexRM.1,hXUPVQ-3,I3,2
PE20,F2,BP4444_RexRM.1,hXUPVQ-3,K3,2
PE20,G2,BP4444_RexRM.1,hXUPVQ-3,M3,2
PE20,H2,BP4444_RexRM.1,hXUPVQ-3,O3,2
PE20,A3,BP4444_RexRM.1,hXUPVQ-3,A5,2
PE20,B3,BP4444_RexRM.1,hXUPVQ-3,C5,2
PE20,C3,BP4444_RexRM.1,hXUPVQ-3,E5,2
PE20,D3,BP4444_RexRM.1,hXUPVQ-3,G5,2
PE20,E3,BP4444_RexRM.1,hXUPVQ-3,I5,2
PE20,F3,BP4444_RexRM.1,hXUPVQ-3,K5,2
PE20,G3,BP4444_RexRM.1,hXUPVQ-3,M5,2
PE20,H3,BP4444_RexRM.1,hXUPVQ-3,O5,2
PE20,A4,BP4444_RexRM.1,hXUPVQ-3,A7,2
PE20,B4,BP4444_RexRM.1,hXUPVQ-3,C7,2
PE20,C4,BP4444_RexRM.1,hXUPVQ-3,E7,2
PE20,D4,BP4444_RexRM.1,hXUPVQ-3,G7,2
PE20,E4,BP4444_RexRM.1,hXUPVQ-3,I7,2
PE20,F4,BP4444_RexRM.1,hXUPVQ-3,K7,2
PE20,G4,BP4444_RexRM.1,hXUPVQ-3,M7,2
PE20,H4,BP4444_RexRM.1,hXUPVQ-3,O7,2
PE20,A5,BP4444_RexRM.1,hXUPVQ-3,A9,2
PE20,B5,BP4444_RexRM.1,hXUPVQ-3,C9,2
PE20,C5,BP4444_RexRM.1,hXUPVQ-3,E9,2
PE20,D5,BP4444_RexRM.1,hXUPVQ-3,G9,2
PE20,E5,BP4444_RexRM.1,hXUPVQ-3,I9,2
PE20,F5,BP4444_RexRM.1,hXUPVQ-3,K9,2
PE20,G5,BP4444_RexRM.1,hXUPVQ-3,M9,2
PE20,H5,BP4444_RexRM.1,hXUPVQ-3,O9,2
PE20,A6,BP4444_RexRM.1,hXUPVQ-3,A11,2
PE20,B6,BP4444_RexRM.1,hXUPVQ-3,C11,2
PE20,C6,BP4444_RexRM.1,hXUPVQ-3,E11,2
PE20,D6,BP4444_RexRM.1,hXUPVQ-3,G11,2
PE20,E6,BP4444_RexRM.1,hXUPVQ-3,I11,2
PE20,F6,BP4444_RexRM.1,hXUPVQ-3,K11,2
PE20,G6,BP4444_RexRM.1,hXUPVQ-3,M11,2
PE20,H6,BP4444_RexRM.1,hXUPVQ-3,O11,2
PE20,A7,BP4444_RexRM.1,hXUPVQ-3,A13,2
PE20,B7,BP4444_RexRM.1,hXUPVQ-3,C13,2
PE20,C7,BP4444_RexRM.1,hXUPVQ-3,E13,2
PE20,D7,BP4444_RexRM.1,hXUPVQ-3,G13,2
PE20,E7,BP4444_RexRM.1,hXUPVQ-3,I13,2
PE20,F7,BP4444_RexRM.1,hXUPVQ-3,K13,2
PE20,G7,BP4444_RexRM.1,hXUPVQ-3,M13,2
PE20,H7,BP4444_RexRM.1,hXUPVQ-3,O13,2
PE20,A8,BP4444_RexRM.1,hXUPVQ-3,A15,2
PE20,B8,BP4444_RexRM.1,hXUPVQ-3,C15,2
PE20,C8,BP4444_RexRM.1,hXUPVQ-3,E15,2
PE20,D8,BP4444_RexRM.1,hXUPVQ-3,G15,2
PE20,E8,BP4444_RexRM.1,hXUPVQ-3,I15,2
PE20,F8,BP4444_RexRM.1,hXUPVQ-3,K15,2
PE20,G8,BP4444_RexRM.1,hXUPVQ-3,M15,2
PE20,H8,BP4444_RexRM.1,hXUPVQ-3,O15,2
PE20,A9,BP4444_RexRM.1,hXUPVQ-3,A17,2
PE20,B9,BP4444_RexRM.1,hXUPVQ-3,C17,2
PE20,C9,BP4444_RexRM.1,hXUPVQ-3,E17,2
PE20,D9,BP4444_RexRM.1,hXUPVQ-3,G17,2
PE20,E9,BP4444_RexRM.1,hXUPVQ-3,I17,2
PE20,F9,BP4444_RexRM.1,hXUPVQ-3,K17,2
PE20,G9,BP4444_RexRM.1,hXUPVQ-3,M17,2
PE20,H9,BP4444_RexRM.1,hXUPVQ-3,O17,2
PE20,A10,BP4444_RexRM.1,hXUPVQ-3,A19,2
PE20,B10,BP4444_RexRM.1,hXUPVQ-3,C19,2
PE20,C10,BP4444_RexRM.1,hXUPVQ-3,E19,2
PE20,D10,BP4444_RexRM.1,hXUPVQ-3,G19,2
PE20,E10,BP4444_RexRM.1,hXUPVQ-3,I19,2
PE20,F10,BP4444_RexRM.1,hXUPVQ-3,K19,2
PE20,G10,BP4444_RexRM.1,hXUPVQ-3,M19,2
PE20,H10,BP4444_RexRM.1,hXUPVQ-3,O19,2
PE20,A11,BP4444_RexRM.1,hXUPVQ-3,A21,2
PE20,B11,BP4444_RexRM.1,hXUPVQ-3,C21,2
PE20,C11,BP4444_RexRM.1,hXUPVQ-3,E21,2
PE20,D11,BP4444_RexRM.1,hXUPVQ-3,G21,2
PE20,E11,BP4444_RexRM.1,hXUPVQ-3,I21,2
PE20,F11,BP4444_RexRM.1,hXUPVQ-3,K21,2
PE20,G11,BP4444_RexRM.1,hXUPVQ-3,M21,2
PE20,H11,BP4444_RexRM.1,hXUPVQ-3,O21,2
PE20,A12,BP4444_RexRM.1,hXUPVQ-3,A23,2
PE20,B12,BP4444_RexRM.1,hXUPVQ-3,C23,2
PE20,C12,BP4444_RexRM.1,hXUPVQ-3,E23,2
PE20,D12,BP4444_RexRM.1,hXUPVQ-3,G23,2
PE20,E12,BP4444_RexRM.1,hXUPVQ-3,I23,2
PE20,F12,BP4444_RexRM.1,hXUPVQ-3,K23,2
PE20,G12,BP4444_RexRM.1,hXUPVQ-3,M23,2
PE20,H12,BP4444_RexRM.1,hXUPVQ-3,O23,2
